"date_part","operatingcarrier","count","airlinename"
"2022","WN","771610","Southwest Airlines Co."
"2022","AA","745315","American Airlines Inc."
"2018","WN","739744","Southwest Airlines Co."
"2017","WN","712241","Southwest Airlines Co."
"2010","WN","684754","Southwest Airlines Co."
"2021","AA","634041","American Airlines Inc."
"2012","WN","621406","Southwest Airlines Co."
"2023","WN","616894","Southwest Airlines Co."
"2011","WN","614869","Southwest Airlines Co."
"2021","WN","607818","Southwest Airlines Co."
"2009","WN","568935","Southwest Airlines Co."
"2022","DL","560504","Delta Air Lines Inc."
"2022","UA","532335","United Air Lines Inc."
"2021","UA","468808","United Air Lines Inc."
"2021","DL","440170","Delta Air Lines Inc."
"2018","AA","422894","American Airlines Inc."
"2017","AA","394768","American Airlines Inc."
"2010","DL","388646","Delta Air Lines Inc."
"2018","DL","366036","Delta Air Lines Inc."
"2017","DL","349354","Delta Air Lines Inc."
"2023","AA","348055","American Airlines Inc."
"2023","DL","325281","Delta Air Lines Inc."
"2012","EV","320313","ExpressJet Airlines LLC d/b/a aha!"
"2012","UA","309093","United Air Lines Inc."
"2018","OO","303525","SkyWest Airlines Inc."
"2011","DL","292162","Delta Air Lines Inc."
"2012","DL","281906","Delta Air Lines Inc."
"2010","OO","276715","SkyWest Airlines Inc."
"2023","UA","273470","United Air Lines Inc."
"2017","OO","273170","SkyWest Airlines Inc."
"2012","AA","267955","American Airlines Inc."
"2012","OO","261742","SkyWest Airlines Inc."
"2018","UA","260427","United Air Lines Inc."
"2010","AA","256738","American Airlines Inc."
"2009","AA","247552","American Airlines Inc."
"2011","AA","242297","American Airlines Inc."
"2011","OO","237588","SkyWest Airlines Inc."
"2017","UA","230693","United Air Lines Inc."
"2009","OO","208543","SkyWest Airlines Inc."
"2010","MQ","202880","Envoy Air"
"2009","DL","199231","Delta Air Lines Inc."
"2023","OO","188190","SkyWest Airlines Inc."
"2009","MQ","182210","Envoy Air"
"2010","XE","180689","ExpressJet Airlines Inc."
"2011","MQ","179357","Envoy Air"
"2012","MQ","178354","Envoy Air"
"2022","AS","177317","Alaska Airlines Inc."
"2011","XE","174706","ExpressJet Airlines Inc."
"2011","US","171437","US Airways Inc."
"2010","US","168965","US Airways Inc."
"2009","US","168293","US Airways Inc."
"2012","US","158940","US Airways Inc."
"2018","B6","153247","JetBlue Airways"
"2022","B6","152078","JetBlue Airways"
"2021","AS","148989","Alaska Airlines Inc."
"2009","EV","144273","ExpressJet Airlines LLC d/b/a aha!"
"2009","UA","143369","United Air Lines Inc."
"2017","B6","142580","JetBlue Airways"
"2009","CO","141580","Continental Air Lines Inc."
"2010","CO","140899","Continental Air Lines Inc."
"2011","CO","138635","Continental Air Lines Inc."
"2009","NW","135713","Northwest Airlines Inc."
"2011","EV","131263","ExpressJet Airlines LLC d/b/a aha!"
"2018","OH","130025","PSA Airlines Inc."
"2010","EV","128092","ExpressJet Airlines LLC d/b/a aha!"
"2017","EV","127181","ExpressJet Airlines LLC d/b/a aha!"
"2011","UA","123646","United Air Lines Inc."
"2009","XE","123069","ExpressJet Airlines Inc."
"2018","MQ","121445","Envoy Air"
"2010","UA","120718","United Air Lines Inc."
"2009","FL","120015","AirTran Airways Corporation"
"2023","B6","116308","JetBlue Airways"
"2018","YX","115335","Republic Airline"
"2022","NK","113311","Spirit Air Lines"
"2010","9E","111275","Endeavor Air Inc."
"2023","NK","109846","Spirit Air Lines"
"2020","WN","104011","Southwest Airlines Co."
"2021","B6","103131","JetBlue Airways"
"2018","AS","102706","Alaska Airlines Inc."
"2012","B6","102137","JetBlue Airways"
"2010","FL","101989","AirTran Airways Corporation"
"2011","B6","100786","JetBlue Airways"
"2010","B6","99758","JetBlue Airways"
"2009","YV","93416","Mesa Airlines Inc."
"2023","AS","92951","Alaska Airlines Inc."
"2009","9E","90870","Endeavor Air Inc."
"2018","YV","89155","Mesa Airlines Inc."
"2022","F9","87155","Frontier Airlines Inc."
"2018","9E","86412","Endeavor Air Inc."
"2011","FL","86293","AirTran Airways Corporation"
"2021","NK","86136","Spirit Air Lines"
"2009","B6","80977","JetBlue Airways"
"2017","AS","79529","Alaska Airlines Inc."
"2012","FL","77794","AirTran Airways Corporation"
"2018","EV","76854","ExpressJet Airlines LLC d/b/a aha!"
"2020","DL","76714","Delta Air Lines Inc."
"2020","AA","75491","American Airlines Inc."
"2023","F9","74769","Frontier Airlines Inc."
"2020","OO","71374","SkyWest Airlines Inc."
"2023","MQ","70124","Envoy Air"
"2009","OH","69928","PSA Airlines Inc."
"2023","YX","69669","Republic Airline"
"2018","NK","69118","Spirit Air Lines"
"2010","OH","66905","PSA Airlines Inc."
"2022","G4","66788","Allegiant Air"
"2010","YV","64814","Mesa Airlines Inc."
"2018","F9","64142","Frontier Airlines Inc."
"2017","NK","61646","Spirit Air Lines"
"2021","G4","59992","Allegiant Air"
"2009","AS","59777","Alaska Airlines Inc."
"2021","F9","59634","Frontier Airlines Inc."
"2023","OH","54114","PSA Airlines Inc."
"2012","AS","52697","Alaska Airlines Inc."
"2010","AS","51856","Alaska Airlines Inc."
"2012","YV","49869","Mesa Airlines Inc."
"2011","YV","49840","Mesa Airlines Inc."
"2023","9E","48590","Endeavor Air Inc."
"2012","F9","47569","Frontier Airlines Inc."
"2017","F9","47208","Frontier Airlines Inc."
"2011","AS","46868","Alaska Airlines Inc."
"2022","HA","45228","Hawaiian Airlines Inc."
"2023","G4","44151","Allegiant Air"
"2009","F9","43526","Frontier Airlines Inc."
"2011","F9","43369","Frontier Airlines Inc."
"2010","F9","42942","Frontier Airlines Inc."
"2018","G4","42276","Allegiant Air"
"2017","VX","39170","Virgin America"
"2023","HA","37503","Hawaiian Airlines Inc."
"2017","HA","34081","Hawaiian Airlines Inc."
"2020","MQ","33134","Envoy Air"
"2020","UA","32805","United Air Lines Inc."
"2018","HA","31882","Hawaiian Airlines Inc."
"2023","YV","31402","Mesa Airlines Inc."
"2012","HA","26504","Hawaiian Airlines Inc."
"2012","VX","25461","Virgin America"
"2010","HA","25442","Hawaiian Airlines Inc."
"2020","OH","25369","PSA Airlines Inc."
"2023","PT","23567","Piedmont Airlines"
"2021","HA","23541","Hawaiian Airlines Inc."
"2009","HA","21737","Hawaiian Airlines Inc."
"2020","NK","21484","Spirit Air Lines"
"2011","HA","20973","Hawaiian Airlines Inc."
"2023","QX","20549","Horizon Air"
"2020","YX","20457","Republic Airline"
"2023","C5","20298","CommuteAir LLC dba CommuteAir"
"2020","9E","19713","Endeavor Air Inc."
"2023","ZW","19174","Air Wisconsin Airlines Corp"
"2020","YV","18233","Mesa Airlines Inc."
"2020","B6","15860","JetBlue Airways"
"2020","AS","15257","Alaska Airlines Inc."
"2020","QX","14543","Horizon Air"
"2020","G4","13473","Allegiant Air"
"2023","G7","13327","GoJet Airlines LLC d/b/a United Express"
"2020","F9","10934","Frontier Airlines Inc."
"2018","VX","7743","Virgin America"
"2020","PT","6548","Piedmont Airlines"
"2020","C5","4489","CommuteAir LLC dba CommuteAir"
"2020","HA","4011","Hawaiian Airlines Inc."
"2020","ZW","3533","Air Wisconsin Airlines Corp"
"2020","G7","2706","GoJet Airlines LLC d/b/a United Express"
"2020","EV","1816","ExpressJet Airlines LLC d/b/a aha!"
"2020","EM","407","Empire Airlines Inc."
